id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator	cpvs_filtered
100003-2013	Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	Szállítási szerződés alapján a Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
100020-2019	Laboratóriumi eszközök GINOP-2.3.2-15-216-00013 Hivatkozási szám: EKR000202972019	Adásvételi szerződés 1 darab elektronmikroszkóp és 1 darab ionkromatográf rendszer beszerzésére a GINOP-2.3.2-15-2016-00013 sz projekt keretében. Az eszközök beszerzése esetében az üzembe helyezés is Ajánlattevő feladata. Az üzembe helyezés magában foglalja: a rendszer leszállítását, beszerelését; rendeltetésszerű használatra alkalmas módon történő üzembe helyezését, az ehhez szükséges anyagok, berendezések biztosításával; az érvényes forgalomba hozatali engedély bemutatását; az üzembe helyezési jegyzőkönyv felvételét; a kezelőszemélyzet betanítását (maximum 4 fő részére maximum 2 munkanap időtartamban) rögzítő jegyzőkönyv felvételét.	38432200|38511000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38
100077-2019	Mikrohullámú rendszerhez eszközök beszerzése Hivatkozási szám: EKR000207852019	Pont-pont mikrohullámú adatátviteli rendszer kialakításához szükséges berendezések szállítása és kapcsolódó oktatási szolgáltatás nyújtása	31711422|35125000|80531200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31
100095-2019	MH EK sztentek beszerzése Hivatkozási szám: EKR000111032019	Magyar Honvédség Egészségügyi Központ sztentek beszerzése adásvételi keretmegállapodás keretében 24 hónapra:2 részajánlati körben.	33141230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33
100234-2018	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi útjainak folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi közútjainak, kerékpárútjainak, járdáinak, és az utakhoz tartozó csapadékvíz elvezető létesítményeknek illetve műtárgyaknak (híd) folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	45233141|45233142	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45
100261-2013	Földgáz energia beszerzése	Földgáz energia szállítása az ajánlatkérők részére 2013.7.1. 06:00 CET - 2015.7.1. 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
100522-2016	A Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés.	Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés 1.7.2016 nap 6:00 – 1.10.2017 nap 6:00 közötti időszakra.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91
100523-2016	Adásvételi szerződés keretében hangszerek beszerzése.	Adásvételi szerződés keretében hangszerek beszerzése.	37300000|37311000|37313000|37314000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37
100524-2016	Gyári új hidraulika és pneumatika alkatrészek szállítása. Hivatkozási szám: K1605	Gyári új hidraulika és pneumatika alkatrészek szállítása.	34913000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34
100525-2016	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	34110000|34114400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34
