Tőkehúsok	tőkehús	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
2021	2021	NUM	Case=Nom|NumType=Card|Number=Sing	
évre	év	NOUN	Case=Sub|Number=Sing	
vonatkozóan	vonatkozó	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPres	
:	:	PUNCT	_	
Húsos	húsos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
csont	csont	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
Karaj	karaj	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
tarja	tarja	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
Marhacomb	marhacomb	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
dió	dió	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
rózsa	rózsa	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
frikandó	frikandó	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
Sertéscomb	sertéscomb	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
csont	csont	NOUN	Case=Nom|Number=Sing	
nélkül	nélkül	ADP	_	
)	)	PUNCT	_	
;	;	PUNCT	_	
Sertéskaraj	sertéskaraj	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
csont	csont	NOUN	Case=Nom|Number=Sing	
nélkül	nélkül	ADP	_	
)	)	PUNCT	_	
;	;	PUNCT	_	
Sertéslapocka	sertéslapocka	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
Sertésoldalas	sertésoldalas	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
Sertés	sertés	NOUN	Case=Nom|Number=Sing	
tarja	tar	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
csont	csont	NOUN	Case=Nom|Number=Sing	
nélkül	nélkül	ADP	_	
)	)	PUNCT	_	
;	;	PUNCT	_	
Sertéscsülök	sertéscsülök	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
hátsó	hátsó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
Sertésmáj	sertésmáj	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
Fehér	Fehér	PROPN	Case=Nom|Number=Sing	
csont	csont	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	

