DEK-883	DEK-883	PROPN	Case=Nom|Number=Sing	
Debreceni	debreceni	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Egyetem	Egyetem	PROPN	Case=Nom|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
üzemelő	üzemelő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
50	50	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
röntgenberendezés	röntgenberendezés	NOUN	Case=Nom|Number=Sing	
szerviz	szerviz	NOUN	Case=Nom|Number=Sing	
szolgáltatásának	szolgáltatás	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
biztosítása	biztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
36	36	NUM	Case=Nom|NumType=Card|Number=Sing	
hónapra	hónap	NOUN	Case=Sub|Number=Sing	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
16	16	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
GE	GE	PROPN	Case=Nom|Number=Sing	
gyártmányú	gyártmányú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
röntgenberendezés	röntgenberendezés	NOUN	Case=Nom|Number=Sing	
szerviz	szerviz	NOUN	Case=Nom|Number=Sing	
szolgáltatatásának	szolgáltatatás	ADJ	Case=Gen|Degree=Pos|Number=Sing|Number[psor]=Sing|Person[psor]=3	
biztosítása	biztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Philips	Philips	PROPN	Case=Nom|Number=Sing	
gy.	gy.	PROPN	Case=Nom|Number=Sing	
diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
röntgenberendezés	röntgenberendezés	NOUN	Case=Nom|Number=Sing	
szerviz	szerviz	NOUN	Case=Nom|Number=Sing	
szolg	szolg	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	
biztosítása	biztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
20	20	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Siemens	Siemens	PROPN	Case=Nom|Number=Sing	
gy.	gy.	PROPN	Case=Nom|Number=Sing	
diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
röntgenberendezés	röntgenberendezés	NOUN	Case=Nom|Number=Sing	
szerviz	szerviz	NOUN	Case=Nom|Number=Sing	
szolg	szolg	NOUN	Case=Ter|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	
biztosítása	biztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Shimadzu	Shimadzu	PROPN	Case=Nom|Number=Sing	
gy.	gy.	PROPN	Case=Nom|Number=Sing	
diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
röntgenberendezés	röntgenberendezés	NOUN	Case=Nom|Number=Sing	
szerviz	szerviz	NOUN	Case=Nom|Number=Sing	
