Öt	öt	NUM	Case=Nom|NumType=Card|Number=Sing	
évre	év	NOUN	Case=Sub|Number=Sing	
szóló	szóló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
„	„	PUNCT	_	
Debreceni	debreceni	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Közterület	közterület	NOUN	Case=Nom|Number=Sing	
Felügyelet	Felügyelet	PROPN	Case=Nom|Number=Sing	
által	által	ADP	_	
üzemeltetett	üzemeltetett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
,	,	PUNCT	_	
Debrecen	Debrecen	PROPN	Case=Nom|Number=Sing	
közigazgatási	közigazgatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
piacok	piac	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
hozzájuk	ők	PRON	Case=All|Number=Plur|Person=3|PronType=Prs	
tartozó	tartozó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kiszolgáló	kiszolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
helyiségek	helyiség	NOUN	Case=Nom|Number=Plur	
folyamatos	folyamatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
hóeltakarítása	hóeltakarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
síkosságmentesítése	síkosságmentesítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
konténeres	konténeres	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hulladékszállítás	hulladékszállítás	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
az	az	DET	Definite=Def|PronType=Art	
egyes	egyes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
piacokon	piac	NOUN	Case=Sup|Number=Plur	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
illemhelyek	illemhely	NOUN	Case=Nom|Number=Plur	
üzemeltetése	üzemeltetés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
egyéb	egyéb	PRON	Case=Nom|Number=Sing|Person=3|PronType=Ind	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
jelleggel	jelleg	NOUN	Case=Ins|Number=Sing	
végzendő	végzendő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
feladatok	feladat	NOUN	Case=Nom|Number=Plur	
elvégzése	elvégzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
.	.	PUNCT	_	

