MKB9	MKB9	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
2018	2018	NUM	Case=Nom|NumType=Card|Number=Sing	
-	-	PUNCT	_	
260	260	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
Magyarország	Magyarország	PROPN	Case=Nom|Number=Sing	
közigazgatási	közigazgatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keletkező	keletkező	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
papír	papír	NOUN	Case=Nom|Number=Sing	
csomagolási	csomagolási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hulladék	hulladék	NOUN	Case=Nom|Number=Sing	
gyűjtése	gyűjtés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
hasznosítása	hasznosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
kezelési	kezelési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kód	kód	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
R3	R3	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
kivéve	kivéve	ADV	_	
:	:	PUNCT	_	
R12	R12	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
R13	R13	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
2018.	2018.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évben	év	NOUN	Case=Ine|Number=Sing	
az	az	DET	Definite=Def|PronType=Art	
1-8	1-8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
részben	részben	ADV	_	
.	.	PUNCT	_	

És	és	CONJ	_	
30	30	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kg	kg	NOUN	Case=Nom|Number=Sing	
Magyarország	Magyarország	PROPN	Case=Nom|Number=Sing	
közigazgatási	közigazgatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
keletkező	keletkező	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
