Oktatási	Oktatási	PROPN	Case=Nom|Number=Sing	
célú	célú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
laboratóriumi	laboratóriumi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
berendezések	berendezés	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
kísérleti	kísérleti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
segédanyagok	segédanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
természettudományi	természettudományi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tantárgyak	tantárgy	NOUN	Case=Nom|Number=Plur	
laboratóriumi	laboratóriumi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
oktatásához	oktatás	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
szállított	szállított	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
áruk	áru	NOUN	Case=Nom|Number=Plur	
betanításával	betanítás	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

