Keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
építési	építési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkákra	munka	NOUN	Case=Sub|Number=Plur	
az	az	DET	Definite=Def|PronType=Art	
ország	ország	NOUN	Case=Nom|Number=Sing	
területén	terület	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
2013-2015	2013-2015	NUM	Case=Nom|NumType[sem]=Result|Number=Sing	
.	.	PUNCT	_	
évekre	év	NOUN	Case=Sub|Number=Plur	
vonatkozóan	vonatkozó	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPres	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
főcsoportban	főcsoport	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
28	28	NUM	Case=Nom|NumType=Card|Number=Sing	
részben	rész	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
)	)	PUNCT	_	
Újrahasznosítási	újrahasznosítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
technológiák	technológia	NOUN	Case=Nom|Number=Plur	
;	;	PUNCT	_	
b	b	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Útburkolatok	útburkolat	NOUN	Case=Nom|Number=Plur	
marása	marás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
bontása	bontása	PROPN	Case=Nom|Number=Sing	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
;	;	PUNCT	_	
c	c	X	_	
)	)	PUNCT	_	
Fagyvédő	fagyvédő	NOUN	Case=Nom|Number=Sing	
ill.	ill.	CONJ	_	
javítóréteg	javítóréteg	NOUN	Case=Nom|Number=Sing	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
;	;	PUNCT	_	
d	d	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Útalapok	útalap	NOUN	Case=Nom|Number=Plur	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
;	;	PUNCT	_	
e	e	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Aszfalt	aszfalt	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
kőburkolatú	kőburkolatú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
útpályaszerkezetek	útpályaszerkezet	NOUN	Case=Nom|Number=Plur	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
;	;	PUNCT	_	
f	f	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Fogadó	fogadó	NOUN	Case=Nom|Number=Sing	
felület	felület	NOUN	Case=Nom|Number=Sing	
kellősítése	kellősítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
felületi	felületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
bevonatok	bevonat	NOUN	Case=Nom|Number=Plur	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
;	;	PUNCT	_	
g	g	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Többlet	többlet	NOUN	Case=Nom|Number=Sing	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkák	munka	NOUN	Case=Nom|Number=Plur	
:	:	PUNCT	_	
-	-	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Közép-Magyarország	Közép-magyarország	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Közép-Dunántúl	Közép-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Nyugat-Dunántúl	Nyugat-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Dél-Dunántúl	Dél-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Dél-Alföld	Dél-alföld	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Észak-Alföld	Észak-alföld	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Észak-Magyarország	Észak-magyarország	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
100	100	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
)	)	PUNCT	_	
Padkakészítés	padkakészítés	NOUN	Case=Nom|Number=Sing	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
vastagságban	vastagság	NOUN	Case=Ine|Number=Sing	
és	és	CONJ	_	
szélességben	szélesség	NOUN	Case=Ine|Number=Sing	
(	(	PUNCT	_	
szállítás	szállítás	NOUN	Case=Nom|Number=Sing	
10	10	NUM	Case=Nom|NumType=Card|Number=Sing	
km-ig	km	NOUN	Case=Ter|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
b	b	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Vízépítési	vízépítési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
létesítmények	létesítmény	NOUN	Case=Nom|Number=Plur	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
;	;	PUNCT	_	
c	c	X	_	
)	)	PUNCT	_	
Közművek	közmű	NOUN	Case=Nom|Number=Plur	
felszíni	felszíni	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerelvényeinek	szerelvény	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
szintbehelyezése	szintbehelyezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
aszfaltburkolaton	aszfaltburkolat	NOUN	Case=Sup|Number=Sing	
,	,	PUNCT	_	
burkolat	burkolat	NOUN	Case=Nom|Number=Sing	
javításához	javítás	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szükséges	szükséges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
anyaggal	anyag	NOUN	Case=Ins|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
d	d	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Többlet	többlet	NOUN	Case=Nom|Number=Sing	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkák	munka	NOUN	Case=Nom|Number=Plur	
:	:	PUNCT	_	
-	-	PUNCT	_	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Közép-Magyarország	Közép-magyarország	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Közép-Dunántúl	Közép-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Nyugat-Dunántúl	Nyugat-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
11.	11.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Dél-Dunántúl	Dél-dunántúl	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
8	8	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
12.	12.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Dél-Alföld	Dél-alföld	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
13.	13.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
Észak-Alföld	Észak-alföld	NOUN	Case=Nom|Number=Sing	
régió	régió	NOUN	Case=Nom|Number=Sing	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
-	-	PUNCT	_	
14.	14.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
főcsoport	főcsoport	NOUN	Case=Nom|Number=Sing	
