Szállítási	Szállítási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
amelynek	amely	PRON	Case=Gen|Number=Sing|Person=3|PronType=Rel	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
17	17	NUM	Case=Nom|NumType=Card|Number=Sing	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
az	az	DET	Definite=Def|PronType=Art	
alábbi	alábbi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
9	9	NUM	Case=Nom|NumType=Card|Number=Sing	
részfeladat	részfeladat	NOUN	Case=Nom|Number=Sing	
szerint	szerint	ADP	_	
:	:	PUNCT	_	
I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Tej	tej	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
tejtermékek	tejtermék	NOUN	Case=Nom|Number=Plur	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Friss	friss	ADJ	Case=Nom|Degree=Pos|Number=Sing	
péksütemények	péksütemény	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
kenyér	kenyér	NOUN	Case=Nom|Number=Sing	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

III	III	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Friss	friss	ADJ	Case=Nom|Degree=Pos|Number=Sing	
húsok	hús	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
húskészítmények	húskészítmény	NOUN	Case=Nom|Number=Plur	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

IV	4	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Előhűtött	előhűt	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act	
szárnyasok	szárnyas	NOUN	Case=Nom|Number=Plur	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

V.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Mélyhűtött	mélyhűt	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act	
szárnyas	szárnyas	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
hal	hal	NOUN	Case=Nom|Number=Sing	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

VI	6	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Mirelit	mirelit	ADJ	Case=Nom|Degree=Pos|Number=Sing	
zöldségáru	zöldségáru	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
gyümölcs	gyümölcs	NOUN	Case=Nom|Number=Sing	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

VII	VII	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Zöldség	zöldség	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
,	,	PUNCT	_	
gyümölcsáru	gyümölcsáru	NOUN	Case=Nom|Number=Sing	
termékcsoportban	termékcsoport	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

VIII	8	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Élelmiszerek	élelmiszer	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
élelmezési	élelmezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagok	alapanyag	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Állati	állati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
