Értékalapú	értékalapú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
keretszerződés	keretszerződés	NOUN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
Nyomtatási	nyomtatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kellékanyagok	kellékanyag	NOUN	Case=Nom|Number=Plur	
"	"	PUNCT	_	
beszerzésére	beszerzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
alábbiak	alábbi	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
Q2612A	Q2612A	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
Q5949A	Q5949A	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
OKI	oki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
MB451	MB451	PROPN	Case=Nom|Number=Sing	
DN	DN	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
44992402	44992402	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
SAMSUNG	samsung	NOUN	Case=Nom|Number=Sing	
SCX-4521	SCX-4521	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
OKI	oki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
B410,430,440	B410,430,440	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
43979102	43979102	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
C7115A	C7115A	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
OKI	oki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
B	B	NOUN	Case=Nom|Number=Sing	
840	840	NUM	Case=Nom|NumType=Card|Number=Sing	
N	N	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
DN	DN	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
DTN	DTN	PROPN	Case=Nom|Number=Sing	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
OKI	oki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
44661802	44661802	NUM	Case=Nom|NumType=Card|Number=Sing	
;	;	PUNCT	_	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
CB435A	CB435A	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
KONICA	KONICA	PROPN	Case=Nom|Number=Sing	
MINOLTA	MINOLTA	PROPN	Case=Nom|Number=Sing	
1600f	1600f	NUM	Case=Nom|NumType=Card|Number=Sing	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
Q2613	Q2613	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
11.	11.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tintapatron	tintapatron	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
339	339	NUM	Case=Nom|NumType=Card|Number=Sing	
(	(	PUNCT	_	
C9504EE	C9504EE	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
12.	12.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tintapatron	tintapatron	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
6578	6578	NUM	Case=Nom|NumType=Card|Number=Sing	
XL	40	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
színes	színes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
nagy	nagy	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kapacitású	kapacitású	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
13.	13.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Dobegység	dobegység	NOUN	Case=Nom|Number=Sing	
OKI	oki	ADJ	Case=Nom|Degree=Pos|Number=Sing	
MB	MB	NOUN	Case=Nom|Number=Sing	
451	451	NUM	Case=Nom|NumType=Card|Number=Sing	
nyomtatóhoz	nyomtató	NOUN	Case=All|Number=Sing	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
(	(	PUNCT	_	
44574307	44574307	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
14.	14.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
Samsung	Samsung	PROPN	Case=Nom|Number=Sing	
ML-1610	ML-1610	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
15.	15.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tintapatron	tintapatron	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
344	344	NUM	Case=Nom|NumType=Card|Number=Sing	
(	(	PUNCT	_	
C9505EE	C9505EE	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
;	;	PUNCT	_	
16.	16.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
C	C	NOUN	Case=Nom|Number=Sing	
4092A	4092	NUM	Case=Nom|NumType=Card|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
17.	17.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tintapatron	tintapatron	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
51645	51645	NUM	Case=Nom|NumType=Card|Number=Sing	
A	a	DET	Definite=Def|PronType=Art	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
18.	18.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
Q2624	Q2624	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
19.	19.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tintapatron	tintapatron	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
C4844A	C4844A	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
fekete	fekete	ADJ	Case=Nom|Degree=Pos|Number=Sing	
;	;	PUNCT	_	
20.	20.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
HP	HP	PROPN	Case=Nom|Number=Sing	
CE285A	CE285A	PROPN	Case=Nom|Number=Sing	
fekete	fekete	PROPN	Case=Nom|Number=Sing	
/	/	PUNCT	_	
HP	HP	PROPN	Case=Nom|Number=Sing	
85A	85	NUM	Case=Nom|NumType=Card|Number=Sing|Number[psor]=Sing|Person[psor]=3	
/	/	PUNCT	_	
;	;	PUNCT	_	
21.	21.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Toner	toner	NOUN	Case=Nom|Number=Sing	
Samsung	Samsung	PROPN	Case=Nom|Number=Sing	
MLT-D	MLT	NOUN	Case=Nom|Number=Sing	
