Adás-vételi	Adás-vételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
Ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
az	az	DET	Definite=Def|PronType=Art	
Intézmény	intézmény	NOUN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
Kenyér	kenyér	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
péksütemény	péksütemény	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
cukrászsütemény	cukrászsütemény	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
tésztaféléket	tésztaféle	NOUN	Case=Acc|Number=Plur	
12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
hónapra	hónap	NOUN	Case=Sub|Number=Sing	
Kecskemét	Kecskemét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kiskunfélegyháza	Kiskunfélegyháza	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Kalocsa	kalocsa	NOUN	Case=Nom|Number=Sing	
telephelyekre	telephely	NOUN	Case=Sub|Number=Plur	
kívánja	kíván	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
megvásárolni	megvásárol	VERB	VerbForm=Inf|Voice=Act	
.	.	PUNCT	_	

