Irodai	irodai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
papírok	papír	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
papíráruk	papíráru	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
író	író	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
irodaszerek	irodaszer	NOUN	Case=Nom|Number=Plur	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Nemzeti	Nemzeti	PROPN	Case=Nom|Number=Sing	
Adó	Adó	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Vámhivatal	vámhivatal	NOUN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
.	.	PUNCT	_	

