Keretszerződés	keretszerződés	NOUN	Case=Nom|Number=Sing	
elektrofiziológiai	elektrofiziológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
anyagok	anyag	NOUN	Case=Nom|Number=Plur	
szállítására	szállítás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
az	az	DET	Definite=Def|PronType=Art	
alábbi	alábbi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
részek	rész	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
:	:	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Josephson	josephs	NOUN	Case=Sup|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéter	katéter	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábel	kábel	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Cournard	Cournard	PROPN	Case=Nom|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéter	katéter	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábel	kábel	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Bipoláris	bipoláris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéter	katéter	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábel	kábel	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Sinus	sinus	NOUN	Case=Nom|Number=Sing	
Coronarius	Coronarius	PROPN	Case=Nom|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
hexapolaris	hexapolaris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábelek	kábel	NOUN	Case=Nom|Number=Plur	
;	;	PUNCT	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Sinus	sinus	NOUN	Case=Nom|Number=Sing	
Coronarius	Coronarius	PROPN	Case=Nom|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
decapolaris	decapolaris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábelek	kábel	NOUN	Case=Nom|Number=Plur	
;	;	PUNCT	_	
6	6	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Halo	Halo	PROPN	Case=Nom|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
pitvari	pitvari	ADJ	Case=Nom|Degree=Pos|Number=Sing	
flatten	flatt	NOUN	Case=Sup|Number=Sing	
térképezésére	térképezés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
összekötő	összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábelek	kábel	NOUN	Case=Nom|Number=Plur	
;	;	PUNCT	_	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Véna	véna	NOUN	Case=Nom|Number=Sing	
pulmonáris	pulmonáris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mapping	mapping	NOUN	Case=Nom|Number=Sing	
diagnosztikus	diagnosztikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
katéter+összekötő	katéter+összekötő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kábel	kábel	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
8	8	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
Thermocool	Thermocool	PROPN	Case=Nom|Number=Sing	
SF	SF	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
