Kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Lőrinci	Lőrinci	PROPN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
Deák	Deák	PROPN	Case=Nom|Number=Sing	
Bamba	bamba	NOUN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
sportcsarnok	sportcsarnok	NOUN	Case=Nom|Number=Sing	
felújítása	felújítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

