A	a	DET	Definite=Def|PronType=Art	
Semmelweis	Semmelweis	PROPN	Case=Nom|Number=Sing	
Egyetem	Egyetem	PROPN	Case=Nom|Number=Sing	
szervezeti	szervezeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
egységeiben	egység	NOUN	Case=Ine|Number=Plur|Number[psor]=Sing|Person[psor]=3	
üzemben	üzem	NOUN	Case=Ine|Number=Sing	
tartott	tartott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
beépített	beépített	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
tűzjelző	tűzjelző	NOUN	Case=Nom|Number=Sing	
rendszerek	rendszer	NOUN	Case=Nom|Number=Plur	
jogszabály	jogszabály	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
felülvizsgálata	felülvizsgálat	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
hibaelhárítása	hibaelhárítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

