Takarítási	takarítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feladatok	feladat	NOUN	Case=Nom|Number=Plur	
ellátása	ellátás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
több	több	NUM	Case=Nom|NumType=Card|Number=Sing	
épületében	épület	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Vállalkozási	Vállalkozási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
melynek	mely	PRON	Case=Gen|Number=Sing|Person=3|PronType=Rel	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
MÜFIG	MÜFIG	PROPN	Case=Nom|Number=Sing	
épületeinek	épület	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
az	az	DET	Definite=Def|PronType=Art	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
Füvészkert	füvészkert	NOUN	Case=Nom|Number=Sing	
épületének	épület	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
ÁJK	ÁJK	PROPN	Case=Nom|Number=Sing	
épületeinek	épület	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
Egyetemi	egyetemi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Könyvtár	Könyvtár	PROPN	Case=Nom|Number=Sing	
épületeinek	épület	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
körű	körű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Vállalkozási	Vállalkozási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
melynek	mely	PRON	Case=Gen|Number=Sing|Person=3|PronType=Rel	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
Informatikai	Informatikai	PROPN	Case=Nom|Number=Sing	
Kar	Kar	PROPN	Case=Nom|Number=Sing	
épületének	épület	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
körű	körű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Vállalkozási	Vállalkozási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
melynek	mely	PRON	Case=Gen|Number=Sing|Person=3|PronType=Rel	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
Gothard	gothard	NOUN	Case=Nom|Number=Sing	
Asztrofizikai	asztrofizikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Obszervatórium	obszervatórium	NOUN	Case=Nom|Number=Sing	
Multidiszciplináris	multidiszciplináris	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Kutatóközpont	Kutatóközpont	PROPN	Case=Nom|Number=Sing	
létesítmény	létesítmény	NOUN	Case=Nom|Number=Sing	
fő	fő	ADJ	Case=Nom|Degree=Pos|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
melléképületeinek	melléképület	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
körű	körű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
eseti	eseti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Vállalkozási	Vállalkozási	PROPN	Case=Nom|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
melynek	mely	PRON	Case=Gen|Number=Sing|Person=3|PronType=Rel	
tárgya	tárgy	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ELTE	ELTE	PROPN	Case=Nom|Number=Sing	
PPK	PPK	PROPN	Case=Nom|Number=Sing	
épületeinek	épület	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
