2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
grafikus	grafikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tintasugaras	tintasugaras	ADJ	Case=Nom|Degree=Pos|Number=Sing	
jelöléstechnikai	jelöléstechnikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszköz	eszköz	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
amely	amely	PRON	Case=Nom|Number=Sing|Person=3|PronType=Rel	
alkalmas	alkalmas	ADJ	Case=Nom|Degree=Pos|Number=Sing	
porózus	porózus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
anyagú	anyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
ill.	ill.	CONJ	_	
tasakba	tasak	NOUN	Case=Ill|Number=Sing	
csomagolt	csomagolt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
mozgó	mozgó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
termékek	termék	NOUN	Case=Nom|Number=Plur	
változó	változó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
tartalmú	tartalmú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feliratozására	feliratozás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
logók	logó	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
grafikák	grafika	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
vonalkódok	vonalkód	NOUN	Case=Nom|Number=Plur	
nyomtatására	nyomtatás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
borítékok	boríték	NOUN	Case=Nom|Number=Plur	
címzésére	címzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Az	az	DET	Definite=Def|PronType=Art	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
tárgyát	tárgy	NOUN	Case=Acc|Number=Sing|Number[psor]=Sing|Person[psor]=3	
képezi	képez	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
továbbá	továbbá	ADV	_	
a	a	DET	Definite=Def|PronType=Art	
termék	termék	NOUN	Case=Nom|Number=Sing	
tesztelése	tesztelés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
üzembe	üzem	NOUN	Case=Ill|Number=Sing	
helyezése	helyezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
valamint	valamint	CONJ	_	
oktatási	oktatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feladat	feladat	NOUN	Case=Nom|Number=Sing	
ellátása	ellátás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

