Három	három	NUM	Case=Nom|NumType=Card|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
határozott	határozott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
időtartamra	időtartam	NOUN	Case=Sub|Number=Sing	
kötött	kötött	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
vállalkozási	vállalkozási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
keretszerződés	keretszerződés	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
Magyar	Magyar	PROPN	Case=Nom|Number=Sing	
Közút	közút	NOUN	Case=Nom|Number=Sing	
Nonprofit	nonprofit	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Zrt.	Zrt.	PROPN	Case=Nom|Number=Sing	
bicskei	bicskei	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
lébényi	lébényi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
gödöllői	gödöllői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
káli	káli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
emődi	emődi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hajdúnánási	hajdúnánási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
hajdúböszörményi	hajdúböszörményi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
makói	makói	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
balatonvilágosi	balatonvilágosi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
fonyódi	fonyódi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
eszteregnyei	eszteregnyei	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mérnökségei	mérnökség	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
által	által	ADP	_	
üzemeltetett	üzemeltetett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
egyes	egyes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pihenőhelyek	pihenőhely	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
ill.	ill.	CONJ	_	
egyes	egyes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mérnökségi	mérnökségi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
telephelyek	telephely	NOUN	Case=Nom|Number=Plur	
szennyvízének	szennyvíz	NOUN	Case=Gen|Number=Sing|Number[psed]=Sing	
elszállítása	elszállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
bicskei	bicskei	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
lébényi	lébényi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mérnökség	mérnökség	NOUN	Case=Nom|Number=Sing	
által	által	ADP	_	
üzemeltetett	üzemeltetett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
egyes	egyes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
pihenőhelyek	pihenőhely	NOUN	Case=Nom|Number=Plur	
szennyvízcsatornáinak	szennyvízcsatorna	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
tisztítása	tisztítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
dugulás	dugulás	NOUN	Case=Nom|Number=Sing	
elhárítása	elhárítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

