I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tervezési	tervezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
39.	39.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tervezett	tervezett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
Encs-Tiszanagyfalu	Encs-tiszanagyfalu	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
38.	38.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
között	között	ADP	_	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Tisza-híddal	Tisza-híd	NOUN	Case=Ins|Number=Sing	
"	"	PUNCT	_	
tárgyú	tárgyú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
projekthez	projekt	NOUN	Case=All|Number=Sing	
értékelemzés	értékelemzés	NOUN	Case=Nom|Number=Sing	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
tárgyában	tárgy	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Tervezési	tervezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
39.	39.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tervezett	tervezett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
Encs-Tiszanagyfalu	Encs-tiszanagyfalu	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
38.	38.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
között	között	ADP	_	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Tisza-híddal	Tisza-híd	NOUN	Case=Ins|Number=Sing	
"	"	PUNCT	_	
tárgyú	tárgyú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
projekthez	projekt	NOUN	Case=All|Number=Sing	
megvalósíthatósági	megvalósíthatósági	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tanulmány	tanulmány	NOUN	Case=Nom|Number=Sing	
készítése	készítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
tárgyában	tárgy	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	

