Szolg	Szolg	SYM	Case=Nom|Number=Sing|Type=p	
.	.	PUNCT	_	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
BKM	BKM	PROPN	Case=Nom|Number=Sing	
Kórház	Kórház	PROPN	Case=Nom|Number=Sing	
alábbi	alábbi	PROPN	Case=Nom|Number=Sing	
telephelyein:Kmét,Nyíri	telephelyein:Kmét,Nyíri	PROPN	Case=Nom|Number=Sing	
út	út	PROPN	Case=Nom|Number=Sing	
38.,	38.,	PROPN	Case=Nom|Number=Sing	

Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Balaton	Balaton	PROPN	Case=Nom|Number=Sing	
u.	u.	PROPN	Case=Nom|Number=Sing	
17.,	17.,	PROPN	Case=Nom|Number=Sing	

Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Csaba	Csaba	PROPN	Case=Nom|Number=Sing	
G	G	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
krt.21	krt.21	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	

Szolgáltatónak	szolgáltató	NOUN	Case=Dat|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Kórház	Kórház	PROPN	Case=Nom|Number=Sing	
fenti	fenti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
telephelyein	telephely	NOUN	Case=Sup|Number=Plur|Number[psor]=Sing|Person[psor]=3	
kell	kell	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
őrzés-védelmi	őrzés-védelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
portaszolgálati	portaszolgálati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
feladatokat	feladat	NOUN	Case=Acc|Number=Plur	
ellátni	ellát	VERB	VerbForm=Inf|Voice=Act	
.	.	PUNCT	_	

Szolg	Szolg	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
helyek:Központi	helyek:Központi	PROPN	Case=Nom|Number=Sing	
tömb	tömb	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Portaszolg-t	Portaszolg	NOUN	Case=Acc|Number=Sing	
kell	kell	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
biztosítani	biztosít	VERB	VerbForm=Inf|Voice=Act	
:	:	PUNCT	_	
Főporta	főporta	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kmét	km	NOUN	Case=Acc|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
Nyíri	nyíri	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
38.	38.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
,	,	PUNCT	_	
foly	foly	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
Teherporta	teherporta	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Csabai	Csabai	PROPN	Case=Nom|Number=Sing	
G	G	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
krt.21.foly.24	krt.21.foly.24	NUM	Case=Nom|NumType=Frac|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
Diagnosztikai	diagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Porta	porta	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
Belső	Belső	PROPN	Case=Nom|Number=Sing	
porta	porta	X	_	
)	)	PUNCT	_	
Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Nyíri	nyíri	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
38	38	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
foly.24	foly.24	NUM	Case=Nom|NumType=Card|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
,	,	PUNCT	_	
Rendelőintézeti	rendelőintézeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Porta	porta	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Csabai	Csabai	PROPN	Case=Nom|Number=Sing	
G	G	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
krt.21.munkanapon	krt.21.munkanap	NOUN	Case=Sup|Number=Sing	
9	9	NUM	Case=Nom|NumType=Card|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
A	a	DET	Definite=Def|PronType=Art	
ép	ép	ADJ	Case=Nom|Degree=Pos|Number=Sing	
.	.	PUNCT	_	

I	I	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
em.körpult	em.körpult	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
16-22óra	16-22	NUM	Case=Sub|NumType=Card|Number=Sing	
között	között	ADP	_	
)	)	PUNCT	_	
Kmét	Kmét	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Nyíri	nyíri	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
38	38	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
foly.6	foly.6	NUM	Case=Nom|NumType=Frac|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
A	a	DET	Definite=Def|PronType=Art	
ép	ép	ADJ	Case=Nom|Degree=Pos|Number=Sing	
.	.	PUNCT	_	
ambulancia	ambulancia	NOUN	Case=Nom|Number=Sing	
bejárat	bejárat	NOUN	Case=Nom|Number=Sing	
Kmét	km	NOUN	Case=Acc|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
Nyíri	nyíri	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
38	38	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
foly	foly	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
órában	óra	NOUN	Case=Ine|Number=Sing	
