Az	az	DET	Definite=Def|PronType=Art	
„	„	PUNCT	_	
ELI	ELI	ADJ	Case=Nom|Degree=Pos|Number=Sing	
lézer	lézer	NOUN	Case=Nom|Number=Sing	
kutatóközpont	kutatóközpont	NOUN	Case=Nom|Number=Sing	
megvalósítása	megvalósítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
GINOP-2	GINOP-2	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
6-15-2015-00001	6-15-2015-00001	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
ELI-ALPS	ELI-ALPS	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
nagyprojekt	nagyprojekt	NOUN	Case=Nom|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
fázisa	fázis	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
P4	P4	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
"	"	PUNCT	_	
projekt	projekt	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
MIR	MIR	PROPN	Case=Nom|Number=Sing	
lézerdiagnosztikai	lézerdiagnosztikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
optikai	optikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
komponensek	komponens	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
részben	rész	NOUN	Case=Ine|Number=Sing	
keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
alapján	alap	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

