Tervezési	tervezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
22	22	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
mentőállomás	mentőállomás	NOUN	Case=Nom|Number=Sing	
építésére	építés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
48	48	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
mentőállomás	mentőállomás	NOUN	Case=Nom|Number=Sing	
felújítására	felújítás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
vonatkozó	vonatkozó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentáció	dokumentáció	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
tervezői	tervezői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
művezetés	művezetés	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
tervezői	tervezői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
művezetés	művezetés	NOUN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
tárgyában	tárgy	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
12	12	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Újonnan	újonnan	ADV	_	
építendő	építendő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
mentőállomás	mentőállomás	NOUN	Case=Nom|Number=Sing	
kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentációjának	dokumentáció	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
tervezői	tervezői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
művezetés	művezetés	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Helységek	helység	NOUN	Case=Nom|Number=Plur	
megnevezése	megnevezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Veszprémvarsány	veszprémvarsány	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Zalalövő	zalalövő	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Söjtör	söjtör	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Aba	aba	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Bábolna	Bábolna	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Böhönye	böhönye	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kadarkút	kadarkút	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Igal	igal	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Szentlőrinc	szentlőrinc	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Sásd	sásd	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Pécsvárad	pécsvárad	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Bátaszék	bátaszék	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
10	10	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Újonnan	újonnan	ADV	_	
építendő	építendő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
mentőállomás	mentőállomás	NOUN	Case=Nom|Number=Sing	
kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentációjának	dokumentáció	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
tervezői	tervezői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
művezetés	művezetés	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Helységek	helység	NOUN	Case=Nom|Number=Plur	
megnevezése	megnevezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Jánoshalma	jánoshalma	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Tótkomlós	tótkomlós	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Mezőberény	mezőberény	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Jászboldogháza	jászboldogháza	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kőtelek	kőtelek	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Tiszaadony	tiszaadony	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Kölcse	kölcse	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Aggtelek	Aggtelek	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Krasznokvajda	krasznokvajda	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Sárospatak	sárospatak	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Nyugat	Nyugat	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Dunántúli	dunántúli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Régióban	régióban	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Közép	közép	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Dunántúli	dunántúli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Régióban	régióban	PROPN	Case=Nom|Number=Sing	
együttesen	együttes	ADJ	Case=Ess|Degree=Pos|Number=Sing	
10	10	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
felújítandó	felújítandó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartFut	
mentőállomás	mentőállomás	NOUN	Case=Nom|Number=Sing	
kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentációjának	dokumentáció	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
tervezői	tervezői	ADJ	Case=Nom|Degree=Pos|Number=Sing	
művezetés	művezetés	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Helységek	helység	NOUN	Case=Nom|Number=Plur	
megnevezése	megnevezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Szentgotthárd	szentgotthárd	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
