1	1	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
)	)	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Békéscsaba	Békéscsaba	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
belterületi	belterületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
útépítések	útépítés	NOUN	Case=Nom|Number=Plur	
engedélyezési	engedélyezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
kiviteli	kiviteli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
terveinek	terv	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Békéscsaba	Békéscsaba	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
belterületi	belterületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
útépítések	útépítés	NOUN	Case=Nom|Number=Plur	
engedélyezési	engedélyezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
terveinek	terv	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
)	)	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Békéscsaba	Békéscsaba	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
külterületi	külterületi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
útépítések	útépítés	NOUN	Case=Nom|Number=Plur	
engedélyezési	engedélyezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
terveinek	terv	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

4	4	NUM	Case=Nom|NumType[sem]=Time|Number=Sing	
)	)	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Békéscsaba	Békéscsaba	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Dobozi	dobozi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Berényi	Berényi	PROPN	Case=Nom|Number=Sing	
út	út	PROPN	Case=Nom|Number=Sing	
melletti	melletti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kerékpárutak	kerékpárút	NOUN	Case=Nom|Number=Plur	
felújítás	felújítás	NOUN	Case=Nom|Number=Sing	
kiviteli	kiviteli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
terveinek	terv	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

