Érsebészeti	érsebészeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Városmajori	városmajori	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szív	szív	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Érgyógyászati	érgyógyászati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
mellkasi	mellkasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
az	az	DET	Definite=Def|PronType=Art	
aorta	aorta	NOUN	Case=Nom|Number=Sing	
deszcendenst	deszcendens	ADJ	Case=Acc|Degree=Pos|Number=Sing	
érintő	érintő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
betegségek	betegség	NOUN	Case=Nom|Number=Plur	
kezeléséhez	kezelés	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
elongált	elongál	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act	
aortaívbe	aortaív	NOUN	Case=Ill|Number=Sing	
helyezhető	helyezhető	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
falhoz	fal	NOUN	Case=All|Number=Sing	
simuló	simuló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
mellkasi	mellkasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
az	az	DET	Definite=Def|PronType=Art	
aorta	aorta	NOUN	Case=Nom|Number=Sing	
dissectiojanak	dissectiojanak	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
13	13	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
mellkasi	mellkasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
aorta	aorta	NOUN	Case=Nom|Number=Sing	
hosszú	hosszú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szakaszát	szakasz	NOUN	Case=Acc|Number=Sing|Number[psor]=Sing|Person[psor]=3	
érintő	érintő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
betegségek	betegség	NOUN	Case=Nom|Number=Plur	
kezelésére	kezelés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
„	„	PUNCT	_	
Y	Y	PROPN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
elágazású	elágazású	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
hasi	hasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
aortába	aorta	NOUN	Case=Ill|Number=Sing	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
„	„	PUNCT	_	
Y	Y	PROPN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
elágazású	elágazású	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
transzrenális	transzrenális	ADV	_	
fixációjú	fixációjú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
hasi	hasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
aortába	aorta	NOUN	Case=Ill|Number=Sing	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
„	„	PUNCT	_	
Y	Y	PROPN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
elágazású	elágazású	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
infrarenális	infrarenális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
fixációjú	fixációjú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stentgraftok	stentgraft	NOUN	Case=Nom|Number=Plur	
hasi	hasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
aortába	aorta	NOUN	Case=Ill|Number=Sing	
branch	branch	NOUN	Case=Nom|Number=Sing	
graft	graft	NOUN	Case=Nom|Number=Sing	
rendszerrel	rendszer	NOUN	Case=Ins|Number=Sing	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
4	4	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
;	;	PUNCT	_	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
ballon	ball	NOUN	Case=Sup|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
mellkasi	mellkasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stengraftok	stengraft	NOUN	Case=Nom|Number=Plur	
dilatációjához	dilatáció	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
15	15	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
hozzávaló	hozzávaló	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felvezető	felvezető	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
katéterekkel	katéter	NOUN	Case=Ins|Number=Plur	
együtt	együtt	ADP	_	
;	;	PUNCT	_	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
ballon	ball	NOUN	Case=Sup|Number=Sing	
katéterek	katéter	NOUN	Case=Nom|Number=Plur	
hasi	hasi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
stengraftok	stengraft	NOUN	Case=Nom|Number=Plur	
dilatációjához	dilatáció	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
összesen	összesen	ADV	_	
10	10	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
hozzávaló	hozzávaló	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felvezető	felvezető	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
katéterekkel	katéter	NOUN	Case=Ins|Number=Plur	
együtt	együtt	ADP	_	
.	.	PUNCT	_	

