Mosonmagyaróvár	Mosonmagyaróvár	PROPN	Case=Nom|Number=Sing	
1075	1075	NUM	Case=Nom|NumType=Card|Number=Sing	
/	/	PUNCT	_	
43	43	NUM	Case=Nom|NumType=Card|Number=Sing	
hrsz-ú	hrsz-ú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ingatlanon	ingatlan	NOUN	Case=Sup|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ép	ép	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Kut	kút	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
,	,	PUNCT	_	

Fejl	Fejl	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
és	és	CONJ	_	
Innov	Innov	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Kp	Kp	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
,	,	PUNCT	_	

Kísérl	Kísérl	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
üzem	üzem	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Laboratórium	laboratórium	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
K+F	K+F	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Adminisztr	Adminisztr	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
és	és	CONJ	_	
egyéb	egyéb	PRON	Case=Nom|Number=Sing|Person=3|PronType=Ind	
ép	ép	ADJ	Case=Nom|Degree=Pos|Number=Sing	
.	.	PUNCT	_	
,	,	PUNCT	_	
parkoló	parkoló	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
60	60	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
és	és	CONJ	_	
utak	út	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
járdák	járda	NOUN	Case=Nom|Number=Plur	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
Épület	épület	NOUN	Case=Nom|Number=Sing	
ismertetése	ismertetés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Ált	ál	ADJ	Case=Acc|Degree=Pos|Number=Sing	
.	.	PUNCT	_	
és	és	CONJ	_	
kieg	kieg	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
terek	tér	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
földsz	földsz	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
és	és	CONJ	_	
em.	em.	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
,	,	PUNCT	_	
Mikrobiol	Mikrobiol	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
fsz	f	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

)	)	PUNCT	_	
395,05	395,05	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Fiz-kémiai	Fiz-kémiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
fsz	f	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

)	)	PUNCT	_	
330,55	330,55	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Tejvizsgáló	tejvizsgáló	NOUN	Case=Nom|Number=Sing	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
fsz	f	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

)	)	PUNCT	_	
163,45	163,45	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
,	,	PUNCT	_	
Nyerstej	nyerstej	NOUN	Case=Nom|Number=Sing	
minősítő	minősítő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
labor	labor	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Érzékszervi	érzékszervi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
em.	em.	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
és	és	CONJ	_	
biotechnológia	biotechnológia	NOUN	Case=Nom|Number=Sing	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
em.	em.	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
33,80+69,05+161,05	33,80+69,05+161,05	PROPN	Case=Nom|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
,	,	PUNCT	_	
Kutató-élelmiszervizsgáló	Kutató-élelmiszervizsgáló	NOUN	Case=Nom|Number=Sing	
labor	labor	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

Raktári	raktári	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
kiszolg	kiszolg	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
zóna	zóna	PROPN	Case=Nom|Number=Sing	
112,50	112,50	NUM	Case=Nom|NumType=Frac|Number=Sing	
+	+	PUNCT	_	
128,90	128,90	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Tejfeldolg	Tejfeldolg	SYM	Case=Nom|Number=Sing|Type=p	
.	.	PUNCT	_	
üzem	üzem	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
fsz	fsz	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

)	)	PUNCT	_	
808,90	808,90	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
,	,	PUNCT	_	
Kut	kút	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

+fejl	+fejl	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

(	(	PUNCT	_	
em.	em.	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
246,10	246,10	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Kereskedelmi	Kereskedelmi	PROPN	Case=Nom|Number=Sing	
részleg	részleg	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
raktár	raktár	NOUN	Case=Nom|Number=Sing	
447,90	447,90	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Látog	Látog	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
közp	közp	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
könyvtár	könyvtár	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
kiállító	kiállító	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
konf	konf	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
terem	terem	NOUN	Case=Nom|Number=Sing	
355,70	355,70	NUM	Case=Nom|NumType=Frac|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
Adminisztr	Adminisztr	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
közp	közp	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

:	:	PUNCT	_	
gazd	gaz	VERB	Definite=Def|Mood=Imp|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	
,	,	PUNCT	_	
keresk	keres	NOUN	Case=Nom|Number=Plur	
.	.	PUNCT	_	

