Őrzés-védelem	Őrzés-védelem	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
portaszolgálat	portaszolgálat	NOUN	Case=Nom|Number=Sing	
szolgáltatások	szolgáltatás	NOUN	Case=Nom|Number=Plur	
ellátása	ellátás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Vagyonvédelmi	vagyonvédelmi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szempontból	szempont	NOUN	Case=Ela|Number=Sing	
őrzött	őrzött	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
terület	terület	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Az	az	DET	Definite=Def|PronType=Art	
Intézet	Intézet	PROPN	Case=Nom|Number=Sing	
területe	terület	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
9	9	NUM	Case=Nom|NumType=Card|Number=Sing	
800	800	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
Épület	épület	NOUN	Case=Nom|Number=Sing	
területe	terület	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
(	(	PUNCT	_	
m2	m2	NUM	Case=Nom|NumType=Frac|Number=Sing	
)	)	PUNCT	_	
,	,	PUNCT	_	
összes	összes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szinttel	szint	NOUN	Case=Ins|Number=Sing	
:	:	PUNCT	_	
Összesen	összesen	ADV	_	
:	:	PUNCT	_	
21	21	NUM	Case=Nom|NumType=Card|Number=Sing	
509	509	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
Az	az	DET	Definite=Def|PronType=Art	
őrzést	őrzés	NOUN	Case=Acc|Number=Sing	
folyamatosan	folyamatos	ADJ	Case=Ess|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
nap	nap	NOUN	Case=Nom|Number=Sing	
24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
órájában	óra	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
biztosítani	biztosít	VERB	VerbForm=Inf|Voice=Act	
kell	kell	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
szolgálati	szolgálati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
időbeosztásnak	időbeosztás	NOUN	Case=Gen|Number=Sing	
és	és	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
helyi	helyi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
sajátosságok	sajátosság	NOUN	Case=Nom|Number=Plur	
maximális	maximális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
figyelembevételével	figyelembevétel	NOUN	Case=Ins|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Szolgálat	Szolgálat	PROPN	Case=Nom|Number=Sing	
létszáma	létszám	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
Hétköznap	hétköznap	ADV	_	
:	:	PUNCT	_	
7	7	NUM	Case=Nom|NumType=Card|Number=Sing	
fő	fő	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Munkaszüneti	munkaszüneti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
ünnepnapokon	ünnepnap	NOUN	Case=Sup|Number=Plur	
:	:	PUNCT	_	
