Tételesen	tételes	ADJ	Case=Ess|Degree=Pos|Number=Sing	
finanszírozott	finanszírozott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
egyszerhasználatos	egyszerhasználatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szívsebészeti	szívsebészeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
eszközök	eszköz	NOUN	Case=Nom|Number=Plur	
adásvétellel	adásvétel	NOUN	Case=Ins|Number=Sing	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
hónapra	hónap	NOUN	Case=Sub|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Városmajori	városmajori	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Szív	szív	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Érgyógyászati	érgyógyászati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Klinika	Klinika	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
egyszerhasználatos	egyszerhasználatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
vákuumos	vákuumos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szívstabilizátor	szívstabilizátor	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
összesen	összesen	ADV	_	
180	180	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
adásvétellel	adásvétel	NOUN	Case=Ins|Number=Sing	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
;	;	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
kis	kis	ADJ	Case=Nom|Degree=Pos|Number=Sing	
membránfelületű	membránfelületű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
(	(	PUNCT	_	
1,7-1,99	1,7-1,99	NUM	Case=Nom|NumType=Frac|Number=Sing	
m²	m²	ADJ	Case=Nom|Degree=Pos|Number=Sing	
)	)	PUNCT	_	
egyszerhasználatos	egyszerhasználatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
oxigenátorok	oxigenátor	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
összesen	összesen	ADV	_	
500	500	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
adásvétellel	adásvétel	NOUN	Case=Ins|Number=Sing	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
;	;	PUNCT	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
nagy	nagy	ADJ	Case=Nom|Degree=Pos|Number=Sing	
membránfelületű	membránfelületű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
(	(	PUNCT	_	
2,0-2,5	2,0-2,5	NUM	Case=Nom|NumType=Frac|Number=Sing	
m²	m²	ADJ	Case=Nom|Degree=Pos|Number=Sing	
)	)	PUNCT	_	
egyszerhasználatos	egyszerhasználatos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
oxigenátorok	oxigenátor	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
összesen	összesen	ADV	_	
300	300	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
adásvétellel	adásvétel	NOUN	Case=Ins|Number=Sing	
