Audiovizuális	audiovizuális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
rendszer	rendszer	NOUN	Case=Nom|Number=Sing	
létesítése	létesítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Pécsi	Pécsi	PROPN	Case=Nom|Number=Sing	
Tudományegyetem	Tudományegyetem	PROPN	Case=Nom|Number=Sing	
Általános	Általános	PROPN	Case=Nom|Number=Sing	
Orvostudományi	Orvostudományi	PROPN	Case=Nom|Number=Sing	
Kar	Kar	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
Modern	Modern	PROPN	Case=Nom|Number=Sing	
Városok	város	NOUN	Case=Nom|Number=Plur	
Program	Program	PROPN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

