Varrófonalak	varrófonál	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
alábbi	alábbi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
részekkel	rész	NOUN	Case=Ins|Number=Plur	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Nem	nem	ADV	PronType=Neg	
felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
monofil	monofil	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
varróanyagok	varróanyag	NOUN	Case=Nom|Number=Plur	
(	(	PUNCT	_	
=	=	PUNCT	_	
va	va	ADV	VerbForm=Trans	
)	)	PUNCT	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Polyester	Polyester	PROPN	Case=Nom|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	va	NOUN	Case=Nom|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Szintetikus	szintetikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
sodrott	sodrott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
/	/	PUNCT	_	
monofil	monofil	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
va	va	ADV	VerbForm=Trans	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Monofil	monofil	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
polydioxanone	polydioxanone	PROPN	Case=Nom|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	va	NOUN	Case=Nom|Number=Sing	
5.	5.	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

Felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
szintetikus	szintetikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
monofil	monofil	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
/	/	PUNCT	_	
sodrott	sodrott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	va	NOUN	Case=Nom|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Nem	nem	ADV	PronType=Neg	
felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
monofil	monofil	VERB	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
,	,	PUNCT	_	
polypropylene	polypropyl	VERB	Definite=Ind|Mood=Cnd|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	va	NOUN	Case=Nom|Number=Sing	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
sodrott	sodrott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
polyglactin	polyglactin	NOUN	Case=Nom|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	va	NOUN	Case=Nom|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
sodrott	sodrott	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
polyglactin	polyglactin	ADJ	Case=Nom|Degree=Pos|Number=Sing	
alapanyagú	alapanyagú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
va	v	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	
rövid	rövid	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felszívódási	felszívódási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
idővel	idő	NOUN	Case=Ins|Number=Sing	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	

Felszívódó	felszívódó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
szintetikus	szintetikus	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
