„	„	PUNCT	_	
BvOP	BvOP	PROPN	Case=Nom|Number=Sing	
épületek	épület	NOUN	Case=Nom|Number=Plur	
takarítása	takarítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
az	az	DET	Definite=Def|PronType=Art	
alábbiak	alábbi	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
:	:	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
BvOP	BvOP	PROPN	Case=Nom|Number=Sing	
által	által	ADP	_	
üzemeltetett	üzemeltetett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
Bp	Bp	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
V.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
ker.	ker.	NOUN	Case=Nom|Number=Sing	
Steindl	steindl	NOUN	Case=Nom|Number=Sing	
Imre	Imre	PROPN	Case=Nom|Number=Sing	
utca	utca	PROPN	Case=Nom|Number=Sing	
8.	8.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
szám	szám	NOUN	Case=Nom|Number=Sing	
alatti	alatti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
épület	épület	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
valamint	valamint	CONJ	_	
a	a	DET	Definite=Def|PronType=Art	
Steindl	steindl	NOUN	Case=Nom|Number=Sing	
Imre	Imre	PROPN	Case=Nom|Number=Sing	
utca	utca	PROPN	Case=Nom|Number=Sing	
10.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
szám	szám	NOUN	Case=Nom|Number=Sing	
alatti	alatti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
épület	épület	NOUN	Case=Nom|Number=Sing	
takarítási	takarítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
