Tervezés	tervezés	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
vállalkozás	vállalkozás	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
„	„	PUNCT	_	
Mór	Mór	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Oroszlány	Oroszlány	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
M1	M1	PROPN	Case=Nom|Number=Sing	
autópálya	autópálya	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
közötti	közötti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kapcsolat	kapcsolat	NOUN	Case=Nom|Number=Sing	
javítása	javítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tata	Tata	PROPN	Case=Nom|Number=Sing	
közös	közös	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elkerülő	elkerülő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
út	út	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
nyomvonalra	nyomvonal	NOUN	Case=Sub|Number=Sing	
helyezése	helyezése	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
megvalósíthatósági	megvalósíthatósági	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tanulmány	tanulmány	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
értékelemzés	értékelemzés	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
.	.	PUNCT	_	

Projekt	Projekt	PROPN	Case=Nom|Number=Sing	
azonosítószáma	azonosítószám	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
KÖZOP-3	KÖZOP-3	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
0-09-11-2012-0023	0-09-11-2012-0023	PROPN	Case=Nom|Number=Sing	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
Mór	Mór	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Oroszlány	Oroszlány	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
M1	M1	PROPN	Case=Nom|Number=Sing	
autópálya	autópálya	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
közötti	közötti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kapcsolat	kapcsolat	NOUN	Case=Nom|Number=Sing	
javítása	javítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tata	Tata	PROPN	Case=Nom|Number=Sing	
közös	közös	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elkerülő	elkerülő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
út	út	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
nyomvonalra	nyomvonal	NOUN	Case=Sub|Number=Sing	
helyezése	helyezése	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
megvalósíthatósági	megvalósíthatósági	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tanulmány	tanulmány	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
Mór	Mór	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Oroszlány	Oroszlány	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
M1	M1	PROPN	Case=Nom|Number=Sing	
autópálya	autópálya	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
közötti	közötti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kapcsolat	kapcsolat	NOUN	Case=Nom|Number=Sing	
javítása	javítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Tata	Tata	PROPN	Case=Nom|Number=Sing	
közös	közös	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elkerülő	elkerülő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
út	út	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
sz.	sz.	ADJ	Case=Nom|Degree=Pos|Number=Sing	
főút	főút	NOUN	Case=Nom|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
nyomvonalra	nyomvonal	NOUN	Case=Sub|Number=Sing	
helyezése	helyezése	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
értékelemzés	értékelemzés	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
"	"	PUNCT	_	
.	.	PUNCT	_	

