Valamennyi	valamennyi	PRON	Case=Nom|Number=Sing|Person=3|PronType=Tot	
rész	rész	NOUN	Case=Nom|Number=Sing	
esetében	eset	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
Nyertes	nyertes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Ajánlattevő	ajánlattevő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
feladata	feladat	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
jelen	jelen	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felhívás	felhívás	NOUN	Case=Nom|Number=Sing	
II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

1.2	1.2	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
pontjában	pont	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
meghatározott	meghatározott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
teljesítési	teljesítési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
helyekre	hely	NOUN	Case=Sub|Number=Plur	
a	a	DET	Definite=Def|PronType=Art	
jelen	jelen	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felhívás	felhívás	NOUN	Case=Nom|Number=Sing	
„	„	PUNCT	_	
B	B	NOUN	Case=Nom|Number=Sing	
"	"	PUNCT	_	
melléklet	melléklet	NOUN	Case=Nom|Number=Sing	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
pontjában	pont	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
felsorolt	felsorolt	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
termékek	termék	NOUN	Case=Nom|Number=Plur	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

