1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Villamos	Villamos	PROPN	Case=Nom|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
az	az	DET	Definite=Def|PronType=Art	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
Megyei	Megyei	PROPN	Case=Nom|Number=Sing	
Jogú	Jogú	PROPN	Case=Nom|Number=Sing	
Város	Város	PROPN	Case=Nom|Number=Sing	
Önkormányzata	Önkormányzata	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Intézményei	intézmény	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
esetében	eset	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
10.1.2019	10.1.2019	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
0	0	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
00	00	NUM	Case=Nom|NumType=Card|Number=Sing	
CET	cet	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
-	-	PUNCT	_	
31.12.2020	31.12.2020	NUM	Case=Nom|NumType[sem]=Dot|Number=Sing	
(	(	PUNCT	_	
24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
00	00	NUM	Case=Nom|NumType=Card|Number=Sing	
CET	cet	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
időszakra	időszak	NOUN	Case=Sub|Number=Sing	
vonatkozóan	vonatkozó	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ellátás	ellátás	NOUN	Case=Nom|Number=Sing	
alapú	alapú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
menetrend	menetrend	NOUN	Case=Nom|Number=Sing	
adás	adás	NOUN	Case=Nom|Number=Sing	
nélküli	nélküli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
villamos	villamos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
összesen	összesen	ADV	_	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
438	438	NUM	Case=Nom|NumType=Card|Number=Sing	
256	256	NUM	Case=Nom|NumType=Card|Number=Sing	
kWh	kWh	PROPN	Case=Nom|Number=Sing	
mennyiségű	mennyiségű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
villamos	villamos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
céljából	cél	NOUN	Case=Ela|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Villamos	Villamos	PROPN	Case=Nom|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
szállítása	szállítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
az	az	DET	Definite=Def|PronType=Art	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
a	a	DET	Definite=Def|PronType=Art	
Tatabánya	Tatabánya	PROPN	Case=Nom|Number=Sing	
Megyei	Megyei	PROPN	Case=Nom|Number=Sing	
Jogú	Jogú	PROPN	Case=Nom|Number=Sing	
Város	Város	PROPN	Case=Nom|Number=Sing	
Önkormányzata	Önkormányzata	PROPN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Közvilágítás	közvilágítás	NOUN	Case=Nom|Number=Sing	
esetében	eset	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
1.10.2019	1.10.2019	NUM	Case=Nom|NumType[sem]=Dot|Number=Sing	
(	(	PUNCT	_	
0	0	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
00	00	NUM	Case=Nom|NumType=Card|Number=Sing	
CET	cet	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
-	-	PUNCT	_	
31.12.2020	31.12.2020	NUM	Case=Nom|NumType[sem]=Dot|Number=Sing	
(	(	PUNCT	_	
24	24	NUM	Case=Nom|NumType=Card|Number=Sing	
:	:	PUNCT	_	
00	00	NUM	Case=Nom|NumType=Card|Number=Sing	
CET	cet	NOUN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
időszakra	időszak	NOUN	Case=Sub|Number=Sing	
vonatkozóan	vonatkozó	ADJ	Case=Ess|Degree=Pos|Number=Sing|VerbForm=PartPres	
,	,	PUNCT	_	
teljes	teljes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ellátás	ellátás	NOUN	Case=Nom|Number=Sing	
alapú	alapú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
menetrend	menetrend	NOUN	Case=Nom|Number=Sing	
adás	adás	NOUN	Case=Nom|Number=Sing	
nélküli	nélküli	ADJ	Case=Nom|Degree=Pos|Number=Sing	
villamos	villamos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
szállítási	szállítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
összesen	összesen	ADV	_	
3	3	NUM	Case=Nom|NumType=Card|Number=Sing	
334	334	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
kWh	kWh	PROPN	Case=Nom|Number=Sing	
mennyiségű	mennyiségű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
villamos	villamos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
energia	energia	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
céljából	cél	NOUN	Case=Ela|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

