Szimulációs	szimulációs	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Oktatási	Oktatási	PROPN	Case=Nom|Number=Sing	
Központ	Központ	PROPN	Case=Nom|Number=Sing	
kivitelezése	kivitelezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
Pécsi	Pécsi	PROPN	Case=Nom|Number=Sing	
Tudományegyetem	Tudományegyetem	PROPN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
az	az	DET	Definite=Def|PronType=Art	
EFOP-4	EFOP-4	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-2017-00008	1-16-2017-00008	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

