id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator	cpvs_filtered	cleaned text
100003-2013	Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	Szállítási szerződés alapján a Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	['adásvételi', 'szerződés', 'a', 'keop-5', '6.0', 'e', 'azonosítószámú', 'egészségügyi', 'eszközök', 'energia-megtakarítás', 'célzó', 'beszerzés', 'támogatás', 'elnevezésű', 'projekt', 'keret', 'radiológiai', 'eszköz', 'beszerzés', 'az', 'üzemeltetés', 'szükséges', 'betanítás', 'elvégzés']
100020-2019	Laboratóriumi eszközök GINOP-2.3.2-15-216-00013 Hivatkozási szám: EKR000202972019	Adásvételi szerződés 1 darab elektronmikroszkóp és 1 darab ionkromatográf rendszer beszerzésére a GINOP-2.3.2-15-2016-00013 sz projekt keretében. Az eszközök beszerzése esetében az üzembe helyezés is Ajánlattevő feladata. Az üzembe helyezés magában foglalja: a rendszer leszállítását, beszerelését; rendeltetésszerű használatra alkalmas módon történő üzembe helyezését, az ehhez szükséges anyagok, berendezések biztosításával; az érvényes forgalomba hozatali engedély bemutatását; az üzembe helyezési jegyzőkönyv felvételét; a kezelőszemélyzet betanítását (maximum 4 fő részére maximum 2 munkanap időtartamban) rögzítő jegyzőkönyv felvételét.	38432200|38511000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38	['m³', 'mennyiségű', 'kommunális', 'és', 'építési', 'hulladék', 'azonosító', 'kód', 'és', 'vagy', 'összegyűjtés', 'elszállítás', 'és', 'kezelés']
100077-2019	Mikrohullámú rendszerhez eszközök beszerzése Hivatkozási szám: EKR000207852019	Pont-pont mikrohullámú adatátviteli rendszer kialakításához szükséges berendezések szállítása és kapcsolódó oktatási szolgáltatás nyújtása	31711422|35125000|80531200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31	['megbízási', 'keretszerződés', 'keret', 'a', 'programozási', 'időszak', 'az', 'efop', 'támogatási', 'forrás', 'származó', 'pénzeszköz', 'felhasználás', 'a', 'kedvezményezett', 'által', 'megvalósított', 'közbeszerzési', 'eljárás', 'illetve', 'szerződés', 'ellenőrzés', 'felügyelet', 'ellátó', 'irányító', 'hatóság', 'a', 'mindenkor', 'hatályos', 'jogszabály', 'alap', 'fennálló', 'feladat', 'kapcsolódó', 'és', 'a', 'tevékenység', 'segítő', 'közbeszerzés', 'minőségbiztosítási', 'szolgáltatás', 'és', 'szakértői', 'tanácsadás']
100095-2019	MH EK sztentek beszerzése Hivatkozási szám: EKR000111032019	Magyar Honvédség Egészségügyi Központ sztentek beszerzése adásvételi keretmegállapodás keretében 24 hónapra:2 részajánlati körben.	33141230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33	['építési', 'beruházás', 'fidic', 'piros', 'könyv', 'rehabilitációs', 'szolgáltatás', 'fejlesztés', 'a', 'közép-dunántúli', 'régió', 'kdop-5', '2.1', 'c-11-2011-0001', 'kódszámú', 'új', 'széchenyi', 'terv', 'pályázat', 'keret', 'a', 'deák', 'jenő', 'kórház', 'terület', 'kardiológiai', 'és', 'tüdőgyógyászati', 'és', 'légzés', 'rehabilitációs', 'ellátó', 'hely', 'építés']
100234-2018	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi útjainak folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi közútjainak, kerékpárútjainak, járdáinak, és az utakhoz tartozó csapadékvíz elvezető létesítményeknek illetve műtárgyaknak (híd) folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	45233141|45233142	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45	['szerződés', 'meghatározás', 'adásvételi', 'keretszerződés', 'tárgya', 'gépbeszerzés', 'ten', 'út', 'emelőkosaras', 'gépjármű', 'beszerzés']
100522-2016	A Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés.	Ferencvárosi Intézmény Üzemeltetési Központ által üzemeltetett intézmények részére földgáz beszerzés 1.7.2016 nap 6:00 – 1.10.2017 nap 6:00 közötti időszakra.	9123000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	['keretszerződés', 'a', 'dunántúli-középhegységi', 'karsztvízszint', 'emelkedés', 'okozta', 'jelenség', 'állapotrögzítés', 'a', 'várható', 'emelkedés', 'modellezés', 'című', 'kehop-1']
100523-2016	Adásvételi szerződés keretében hangszerek beszerzése.	Adásvételi szerződés keretében hangszerek beszerzése.	37300000|37311000|37313000|37314000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37	['gyógyszer', 'és', 'infúzió', 'beszerzés', 'részben', 'az', 'ajánlatkérő', 'számára', 'hónap', 'határozott', 'időtartam']
100524-2016	Gyári új hidraulika és pneumatika alkatrészek szállítása. Hivatkozási szám: K1605	Gyári új hidraulika és pneumatika alkatrészek szállítása.	34913000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34	['természetvédelmi', 'felmérés', 'vizsgálat', 'és', 'mérés', 'elvégzés', 'skhu', '1.1', 'azonosító', 'számú', 'projekt', 'keret']
100525-2016	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	Adásvételi szerződés 21 darab személygépjármű beszerzésére.	34110000|34114400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34	['debrecen', 'város', 'út', 'egyes', 'járda', 'gépi', 'kézi', 'úttisztítás', 'az', 'téli', 'síktalanítási', 'és', 'hóeltakarítási', 'munka', 'valamint', 'az', 'illegális', 'szemétlerakó', 'elhelyezett', 'hulladék', 'szeméttelep', 'való', 'szállítási', 'munka', 'vállalkozási', 'szerződés']
100530-2016	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	Vállalkozási szerződés a Nemzeti Tengelysúly- és kapcsolódó ellenőrzéseket támogató hálózat kialakítása elnevezésű projektben független műszaki ellenőri feladatok ellátása tárgyában.	71631000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71	['ajánlatkérő', 'az', 'intézmény', 'részére', 'hónap', 'szükséges', 'egészségügyi', 'gáz', 'kíván', 'megvásárol', 'az', 'árubeszerzés', 'kapcsolódó', 'a', 'nyertes', 'ajánlattevő', 'által', 'elvégzendő', 'szolgáltatás', 'kör', 'gyógyszertári', 'rendelés', 'alap', 'palackos', 'gáz', 'szállítás', 'a', 'kórházi', 'terület', 'lévő', 'depó', 'raktár', 'fekvőbeteg', 'osztály', 'és', 'az', 'integrált', 'intézmény', 'palackos', 'gáz', 'szállítás', 'a', 'raktár', 'osztályos', 'rendelés', 'alap', 'munkaidő', 'és', 'ügyeleti', 'idő', 'cseppfolyós', 'oxigén', 'szállítás', 'és', 'lefejtés', 'a', 'cseppfolyós', 'oxigén', 'tároló', 'lefejtés', 'az', 'intézmény', 'által', 'kijelölt', 'munkatárs', 'jelenlét', 'cseppfolyós', 'nitrogén', 'tartály', 'töltés', 'és', 'szállítás', 'az', 'osztály', 'munkaidő', 'a', 'palackos', 'orvosi', 'gáz', 'hálózat', 'központ', 'eset', 'történő', 'kötés', 'az', 'ajánlattevő', 'feladat', 'mely', 'az', 'intézmény', 'által', 'kijelölt', 'munkatárs', 'felügyel', 'a', 'hálózat', 'történő', 'kötés', 'eset', 'az', 'ún.', 'ostor', 'karbantartás', 'is', 'a', 'szolgáltató', 'terhel', 'a', 'cseppfolyós', 'oxigén', 'tárolás', 'lehetőség', 'az', 'ajánlattevő', 'tartály', 'telepít', 'le', 'mely', 'minden', 'költség', 'az', 'ajánlattevő', 'terhel', 'a', 'szerződés', 'lejárta', 'az', 'ajánlattevő', 'által', 'telepített', 'tartály', 'ajánlatkérő', 'tulajdon', 'kerül', 'térítésmentesen', 'ajánlatkérő', 'olyan', 'tartály', 'telepítés', 'vár', 'el', 'nyertes', 'ajánlattevő', 'mely', 'kapacitás', 'ajánlatkérő', 'felhasználás', 'figyelem', 'véve', 'megfelelő', 'továbbá', 'valamennyi', 'piaci', 'szereplő', 'általi', 'töltés', 'megoldható']
