id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator
100003-2013	Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	Szállítási szerződés alapján a Magyar Tudományos Akadémia köztestületi intézményei földgáz energiavételezése 2013.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100013-2019	Mechatronikai eszközök EFOP-3.4.3-16-2016-00005. Hivatkozási szám: EKR000173122019	Mechatronikai eszközök beszerzése a Pécsi Tudományegyetem részére 11 ajánlati részben a Közbeszerzési Dokumentumokban meghatározottak szerint. 1. rész: Akkumulátor csomag 2. rész: Forrasztó állomások és eszköz kiegészítő csomag 3. rész: Gyártó cellákat szimuláló építőelemes készlet 4. rész: Hőkamera 5. rész: Jelgenerátor csomag 6. rész: 14 tengelyes kollaboratív robotkar 7. rész: Labor tápegység egy kimenettel 8. rész: 3 csatornás labor tápegység 9. rész: Léptetőmotorok, léptetővezérlők, tápegységek 10. rész: Mérővezeték tartó és Mérő vezeték csomag 11. rész: PLC csomag	31000000|31111000|31158100|31400000|34310000|34999100|38653000|39162000|42661100|42997300|44115100|48151000	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100014-2019	Nagyteljesítményű elektrofotografikus nyomtatók Hivatkozási szám: EKR000165242019	Üzemeltetéssel vegyes adásvételi szerződés keretében nagyteljesítményű elektrofotografikus nyomtatók beszerzése és karbantartása	30232110|50312600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100020-2019	Laboratóriumi eszközök GINOP-2.3.2-15-216-00013 Hivatkozási szám: EKR000202972019	Adásvételi szerződés 1 darab elektronmikroszkóp és 1 darab ionkromatográf rendszer beszerzésére a GINOP-2.3.2-15-2016-00013 sz projekt keretében. Az eszközök beszerzése esetében az üzembe helyezés is Ajánlattevő feladata. Az üzembe helyezés magában foglalja: a rendszer leszállítását, beszerelését; rendeltetésszerű használatra alkalmas módon történő üzembe helyezését, az ehhez szükséges anyagok, berendezések biztosításával; az érvényes forgalomba hozatali engedély bemutatását; az üzembe helyezési jegyzőkönyv felvételét; a kezelőszemélyzet betanítását (maximum 4 fő részére maximum 2 munkanap időtartamban) rögzítő jegyzőkönyv felvételét.	38432200|38511000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100077-2019	Mikrohullámú rendszerhez eszközök beszerzése Hivatkozási szám: EKR000207852019	Pont-pont mikrohullámú adatátviteli rendszer kialakításához szükséges berendezések szállítása és kapcsolódó oktatási szolgáltatás nyújtása	31711422|35125000|80531200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100095-2019	MH EK sztentek beszerzése Hivatkozási szám: EKR000111032019	Magyar Honvédség Egészségügyi Központ sztentek beszerzése adásvételi keretmegállapodás keretében 24 hónapra:2 részajánlati körben.	33141230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100234-2018	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi útjainak folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	Keretmegállapodás Győr Megyei Jogú Város önkormányzati tulajdonú/kezelésű bel-, és külterületi közútjainak, kerékpárútjainak, járdáinak, és az utakhoz tartozó csapadékvíz elvezető létesítményeknek illetve műtárgyaknak (híd) folyamatos fenntartására, karbantartására, és felújítására illetve átépítésére.	45233141|45233142	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100261-2013	Földgáz energia beszerzése	Földgáz energia szállítása az ajánlatkérők részére 2013.7.1. 06:00 CET - 2015.7.1. 06:00 CET időszakra vonatkozóan, teljes ellátás alapú földgáz energia kereskedelmi szerződés keretében.	9123000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100357-2013	A gödi Településellátó Szervezet élelmiszer beszerzése 2013.	Településellátó Szervezet Göd élelmiszer beszerzése szállítási szerződés keretében.	15110000|15119000|15220000|15331100|15332200|15411100|15431100|15500000|15511100|15612000|15800000|15810000|15851100|15872300|15890000|15896000|3131000|3200000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100478-2013	Megbízási szerződés - „Tótkomlós csatornázásának és szennyvíztisztításának fejlesztése KEOP-1.2.0/2F/09-2010-0087” projekttel kapcsolatos FIDIC mérnöki és műszaki ellenőri feladatok ellátása.	Megbízási szerződés - „Tótkomlós csatornázásának és szennyvíztisztításának fejlesztése KEOP-1.2.0/2F/09-2010-0087” projekttel kapcsolatos FIDIC mérnöki és műszaki ellenőri feladatok ellátása.	71248000|71310000|71318000|71520000|71631300|79111000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
